family,method,sample_id_within_method,original_row_index,question
GPT-5.4,M1,1,1860,What is the first-line pharmacologic treatment for acute mania in a patient with bipolar I disorder?
GPT-5.4,M1,2,353,"In patients with resected stage III colorectal cancer, how does circulating tumor DNA positivity after adjuvant chemotherapy correlate with recurrence-free survival compared with radiographic surveillance alone?"
GPT-5.4,M1,3,1333,What is the most common cause of aortic stenosis in elderly patients?
GPT-5.4,M1,4,905,What clinical signs and symptoms should a nurse monitor for in a patient with acute pancreatitis?
GPT-5.4,M1,5,1289,"In a patient with unexplained weight loss, iron deficiency anemia, and a change in bowel habits, which colorectal cancer red-flag features should prompt urgent referral for colonoscopy?"
GPT-5.4,M1,6,1273,Which electrocardiographic finding is most characteristic of acute pericarditis?
GPT-5.4,M1,7,938,"In a patient with triple-negative essential thrombocythemia and recurrent splanchnic vein thrombosis despite therapeutic anticoagulation, what factors would guide escalation to cytoreductive therapy and how would you select among hydroxyurea, pegylated interferon alfa, and ruxolitinib?"
GPT-5.4,M1,8,1731,How does host genetic variation influence susceptibility to severe Plasmodium falciparum malaria and treatment response in endemic populations?
GPT-5.4,M1,9,65,How do host transcriptomic signatures compare with pathogen-specific PCR in distinguishing bacterial from viral sepsis in immunocompromised adults presenting with acute febrile illness?
GPT-5.4,M1,10,1323,"In an HIV-positive patient with CD4 count below 50 cells/µL presenting with focal brain lesions on MRI, which clinical, radiologic, and laboratory features most reliably distinguish cerebral toxoplasmosis from primary CNS lymphoma?"
GPT-5.4,M1,11,56,What is the first-line pharmacologic treatment for acute mania in a patient with bipolar I disorder?
GPT-5.4,M1,12,1292,What is the most common cause of iron deficiency anemia in premenopausal adults?
GPT-5.4,M1,13,1118,What nursing intervention is most important to reduce the risk of hypoxemia in a patient with acute exacerbation of chronic obstructive pulmonary disease?
GPT-5.4,M1,14,584,"In a patient with ACTH-independent Cushing syndrome and bilateral adrenal macronodular hyperplasia, how would aberrant G-protein–coupled receptor expression influence the choice and interpretation of dynamic endocrine testing?"
GPT-5.4,M1,15,374,Which neurotransmitter is most strongly implicated in the positive symptoms of schizophrenia?
GPT-5.4,M1,16,275,What nursing assessment finding is most concerning in a patient with severe thrombocytopenia?
GPT-5.4,M1,17,746,"What is the most likely diagnosis in a patient with polyuria, polydipsia, elevated serum glucose, and ketonuria?"
GPT-5.4,M1,18,128,How do host genetic polymorphisms in innate immune signaling pathways influence susceptibility to severe dengue and the efficacy of antiviral interventions in diverse endemic populations?
